provincia,comentario,latitud,longitud
Damasco,Capital y la segunda ciudad más grande de Siria después de Alepo. Además de ser una de las ciudades habitadas más antiguas del mundo con más de 4000 años de historia. Damasco es un importante centro cultural y religioso del Levante mediterráneo. de Siria,33.513047,36.291928
Damasco Rural,También conocida como Rif Dimashq. Es una gobernación de Siria situada en la parte suroeste del país.,33.449973,37.033325
Homs,Situada en la parte central del país. Tiene una superficie de 42.226 kilómetros cuadrados y una población de 1.647.000 personas,34.349973,38.316677
Daraa,Situada en la parte suroeste del país. Tiene una superficie de 3.730 kilómetros cuadrados y una población de 916.000 personas,32.866667,36.216676
Idlib,Situada en la parte noroeste del país. Tiene una población de 1.501.000 personas. Posee 5 distritos: Idlib Harem Yisr al-Shugur Ariha Maarat an-Numan,35.783325,36.683317
Aleppo,Es la región más poblada de Siria con una población de 4.045.166 habitantes casi el 23% de la población tota de Siria. Situada en la parte noroeste del país.,36.233307,37.600008
Deir Ezzor,Situada en la parte suroeste del país. Tiene una superficie de 33.060 kilómetros cuadrados y una población de 1.094.000 personas,35.149974,40.266655
Raqqa,Situada en la parte suroeste del país. Tiene una superficie de 19.616 kilómetros cuadrados y una población de 854.000 personas. Dividida en 3 distritos: Al-Thawrah Tal Abyad Raqa,36.000009,38.89997
Sweida,Situado en la parte suroeste del país. Tiene una superficie de 5.550 kilómetros cuadrados y una población de 346.000 personas,32.799973,36.800001
Hama,Situada en la parte noroeste  del país. Tiene una población de 1.628.000 personas. Hama es un centro industrial y agrícola importante en Siria. ,35.233307,37.166659
Lattakia,Situada en la parte noroeste del país. Latakia es una de las pocas provincias de Siria que cuenta con mayoría alauita,35.583325,36.016664
Tartous,Situada en la parte noroeste del país. Tiene una superficie de 1.890 kilómetros cuadrados y una población de 750.000 personas ,34.96664,36.066641
Hasakeh,Localizada en el extremo noreste de Siria cuya capital es la ciudad homónima de Hasaka. Es atravesada por el río Jaburabur. Se distingue por sus fértiles tierras su abundancia de agua su naturaleza pintoresca y por tener más de un centenar de lugares arqueológicos interesantes. ,36.516667,40.883316
Quneitra,Situada en el sur de Siria. Tiene una población de 69.000 personas. La capital es la ciudad de Quneitra actualmente despoblada. ,33.116656,35.933334
